,STATE,CONSTITUENCY,NAME,PARTY,SYMBOL,CRIMINAL CASES,CATEGORY,EDUCATION,ASSETS,LIABILITIES,WINNER,AGE,GENERAL VOTES,POSTAL VOTES,TOTAL VOTES,OVER TOTAL ELECTORS IN CONSTITUENCY,OVER TOTAL VOTES POLLED IN CONSTITUENCY,TOTAL ELECTORS,GENDER
567,Tamil Nadu,CUDDALORE,Dr. R. GOVINDASAMY,PMK,Mango,1,GENERAL,Post Graduate,254147934,1065600,0.0,69.0,376628.0,1549.0,378177.0,27.72481412,36.24537561,1364038.0,MALE
568,Tamil Nadu,CUDDALORE,K. THANGAVEL,IND,Gift Pack,0,GENERAL,10th Pass,10008914,1700000,0.0,49.0,44865.0,27.0,44892.0,3.291110658,4.302555157,1364038.0,MALE
569,Tamil Nadu,CUDDALORE,R. CHITHRA,NTK,Ganna Kisan,0,GENERAL,Graduate,640737,0,0.0,40.0,34565.0,127.0,34692.0,2.543330904,3.324963101,1364038.0,FEMALE
570,Tamil Nadu,CUDDALORE,V. ANNAMALAI,MNM,Battery Torch,0,GENERAL,Post Graduate,88267747,0,0.0,44.0,23612.0,101.0,23713.0,1.738441304,2.272709847,1364038.0,MALE
571,Odisha,CUTTACK,BHARTRUHARI MAHTAB,BJD,Conch,0,GENERAL,Post Graduate,106894976,0,1.0,62.0,524117.0,475.0,524592.0,34.53544315,49.46839057,1518996.0,MALE
572,Odisha,CUTTACK,PRAKASH MISHRA,BJP,Lotus,0,GENERAL,Post Graduate,93102541,0,0.0,63.0,401959.0,1432.0,403391.0,26.5564228,38.03928299,1518996.0,MALE
573,Odisha,CUTTACK,PANCHANAN KANUNGO,INC,Hand,1,GENERAL,Post Graduate,8739577,152000,0.0,67.0,99742.0,105.0,99847.0,6.573223366,9.415451234,1518996.0,MALE
574,Dadra & Nagar Haveli,DADRA AND NAGAR HAVELI,DELKAR MOHANBHAI SANJIBHAI,IND,Batsman,0,ST,Graduate,708885980,37268162,1.0,56.0,90399.0,22.0,90421.0,36.16420495,45.44134202,250029.0,MALE
575,Dadra & Nagar Haveli,DADRA AND NAGAR HAVELI,PATEL NATUBHAI GOMANBHAI,BJP,Lotus,6,ST,5th Pass,496942663,215617501,0.0,46.0,81384.0,36.0,81420.0,32.56422255,40.91786274,250029.0,MALE
576,Dadra & Nagar Haveli,DADRA AND NAGAR HAVELI,TOKIYA PRABHUBHAI,INC,Hand,1,ST,12th Pass,5430633,0,0.0,40.0,8608.0,0.0,8608.0,3.442800635,4.325975958,250029.0,MALE
577,Dadra & Nagar Haveli,DADRA AND NAGAR HAVELI,PATEL ANKITA AMRUTBHAI,SHS,Bow & Arrow,0,ST,Graduate Professional,46486347,12206998,0.0,35.0,4000.0,0.0,4000.0,1.599814422,2.010211876,250029.0,FEMALE
578,Dadra & Nagar Haveli,DADRA AND NAGAR HAVELI,KURADA DEEPAKBHAI,IND,Throwing a Javelin,0,ST,Graduate,20095,0,0.0,33.0,3630.0,0.0,3630.0,1.451831588,1.824267278,250029.0,MALE
580,Dadra & Nagar Haveli,DADRA AND NAGAR HAVELI,DAYAT MANOJ RANCHOD,IND,Helicopter,0,ST,12th Pass,168959,84060,0.0,31.0,2287.0,0.0,2287.0,0.914693896,1.14933864,250029.0,MALE
581,Gujarat,DAHOD,JASHVANTSINH SUMANBHAI BHABHOR,BJP,Lotus,0,ST,Graduate Professional,27070480,0,1.0,52.0,558977.0,2783.0,561760.0,35.13329777,52.77759771,1598939.0,MALE
582,Gujarat,DAHOD,KATARA BABUBHAI KHIMABHAI,INC,Hand,1,ST,Graduate,48020539,2490502,0.0,58.0,431312.0,2852.0,434164.0,27.153256,40.7898977,1598939.0,MALE
584,Gujarat,DAHOD,BHABHOR DHULABHAI DITABHAI,BSP,Elephant,0,ST,10th Pass,71845,0,0.0,64.0,11329.0,10.0,11339.0,0.70915776,1.06530401,1598939.0,MALE
585,Gujarat,DAHOD,DEVDHA SAMSUBHAI KHATARABHAI,IND,Boat with Man and Sail,0,ST,Graduate Professional,0,0,0.0,51.0,11135.0,7.0,11142.0,0.69683709,1.046795773,1598939.0,MALE
586,Karnataka,DAKSHINA KANNADA,NALIN KUMAR KATEEL,BJP,Lotus,4,GENERAL,10th Pass,14678300,4450945,1.0,52.0,772754.0,1531.0,774285.0,44.88671147,57.5528098,1724976.0,MALE
587,Karnataka,DAKSHINA KANNADA,MITHUN M RAI,INC,Hand,1,GENERAL,Graduate,32963608,14804098,0.0,34.0,499387.0,277.0,499664.0,28.966432,37.14015789,1724976.0,MALE
588,Karnataka,DAKSHINA KANNADA,MOHAMMED ELIYAS,SDPI,Gas Cylinder,1,GENERAL,12th Pass,501640,0,0.0,57.0,46834.0,5.0,46839.0,2.715342126,3.481555316,1724976.0,MALE
589,Daman & Diu,DAMAN & DIU,LALUBHAI BABUBHAI PATEL,BJP,Lotus,0,GENERAL,8th Pass,213993750,9969514,1.0,63.0,37586.0,11.0,37597.0,30.88302941,42.98126279,121740.0,MALE
590,Daman & Diu,DAMAN & DIU,KETAN DAHYABHAI PATEL,INC,Hand,5,GENERAL,Others,173222574,43113473,0.0,44.0,27643.0,12.0,27655.0,22.71644488,31.61546992,121740.0,MALE
591,Daman & Diu,DAMAN & DIU,PATEL UMESHBHAI BABUBHAI,IND,SHIP,8,GENERAL,Graduate,2698150,0,0.0,42.0,19935.0,3.0,19938.0,16.37752587,22.79331908,121740.0,MALE
593,Madhya Pradesh,DAMOH,PRAHALAD SINGH PATEL,BJP,Lotus,0,GENERAL,Graduate Professional,43292483,4230614,1.0,59.0,704221.0,303.0,704524.0,39.83113756,60.50506482,1768777.0,MALE
594,Madhya Pradesh,DAMOH,PRATAP SINGH,INC,Hand,0,GENERAL,10th Pass,23844753,120000,0.0,57.0,351016.0,97.0,351113.0,19.85060864,30.1538554,1768777.0,MALE
595,Madhya Pradesh,DAMOH,"JITTU KHARE ""BADAL""",BSP,Elephant,0,GENERAL,8th Pass,2188000,0,0.0,34.0,45822.0,26.0,45848.0,2.592073506,3.937461622,1768777.0,MALE
